Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
15	:	1521745489.766	   696.927	0	7690262	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 15.fa
16	:	1521745500.761	   734.379	0	5430009	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 16.fa
13	:	1521745459.341	   804.074	0	7306339	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 13.fa
17	:	1521746099.394	   715.595	0	3274260	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 17.fa
19	:	1521746141.959	   729.380	0	4333636	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 19.fa
22	:	1521746186.710	   707.320	0	6291113	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 22.fa
18	:	1521746127.852	   775.174	0	5948224	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 18.fa
20	:	1521746151.377	   765.674	0	5688417	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 20.fa
21	:	1521746181.725	   748.833	0	5629267	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 21.fa
23	:	1521746235.159	   740.687	0	5337133	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 23.fa
24	:	1521746263.437	   729.319	0	4897631	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 24.fa
26	:	1521746871.347	   690.796	0	7848222	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 26.fa
27	:	1521746894.052	   707.032	0	5983882	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 27.fa
28	:	1521746903.047	   718.140	0	5132703	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 28.fa
29	:	1521746917.072	   723.681	0	5153240	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 29.fa
30	:	1521746930.568	   710.505	0	4646152	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 30.fa
25	:	1521746815.008	   828.314	0	5768081	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 25.fa
32	:	1521746992.776	   690.020	0	4898084	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 32.fa
31	:	1521746975.865	   713.473	0	5325670	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 31.fa
33	:	1521747562.213	   739.379	0	8383713	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 33.fa
34	:	1521747601.103	   735.901	0	5878031	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 34.fa
38	:	1521747643.342	   698.433	0	5820744	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 38.fa
35	:	1521747621.206	   725.207	0	6011255	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 35.fa
36	:	1521747640.773	   720.823	0	4632784	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 36.fa
40	:	1521747689.357	   750.931	0	6786405	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 40.fa
39	:	1521747682.815	   764.225	0	4506486	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 39.fa
37	:	1521747641.092	   817.818	0	4825586	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 37.fa
42	:	1521748337.023	   696.904	0	5941979	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 42.fa
41	:	1521748301.834	   732.194	0	7271330	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 41.fa
45	:	1521748361.616	   707.683	0	7845272	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 45.fa
44	:	1521748346.434	   732.766	0	5237788	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 44.fa
43	:	1521748341.785	   747.713	0	4613503	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 43.fa
47	:	1521748447.050	   724.781	0	7953618	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 47.fa
48	:	1521748458.928	   746.368	0	5554600	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 48.fa
46	:	1521748440.311	   785.518	0	6327623	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 46.fa
50	:	1521749034.048	   716.866	0	5118262	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 50.fa
49	:	1521749033.959	   735.722	0	7558311	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 49.fa
53	:	1521749089.520	   732.815	0	6133625	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 53.fa
51	:	1521749069.311	   771.390	0	4501777	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 51.fa
52	:	1521749079.222	   807.155	0	6333226	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 52.fa
54	:	1521749171.861	   755.016	0	7225268	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 54.fa
56	:	1521749225.852	   707.440	0	6603739	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 56.fa
55	:	1521749205.308	   732.144	0	6476121	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 55.fa
58	:	1521749769.706	   709.429	0	9303852	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 58.fa
57	:	1521749751.223	   744.993	0	6036130	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 57.fa
59	:	1521749822.513	   716.381	0	5080880	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 59.fa
60	:	1521749840.721	   732.442	0	4703222	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 60.fa
64	:	1521749937.463	   676.043	0	6259876	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 64.fa
62	:	1521749926.907	   702.184	0	7031779	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 62.fa
63	:	1521749933.314	   718.791	0	12188228	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 63.fa
61	:	1521749886.398	   801.891	0	4974536	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 61.fa
65	:	1521750479.230	   699.993	0	6394597	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 65.fa
66	:	1521750496.237	   742.611	0	4837786	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 66.fa
67	:	1521750539.135	   728.210	0	7658834	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 67.fa
68	:	1521750573.270	   728.301	0	4873209	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 68.fa
69	:	1521750613.517	   691.437	0	7490650	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 69.fa
70	:	1521750629.115	   728.463	0	5803946	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 70.fa
71	:	1521750652.141	   706.401	0	7124779	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 71.fa
72	:	1521750688.310	   735.549	0	7982627	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 72.fa
73	:	1521751179.237	   691.518	0	5806810	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 73.fa
74	:	1521751238.870	   707.004	0	7199342	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 74.fa
76	:	1521751301.581	   691.510	0	5484270	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 76.fa
75	:	1521751267.376	   743.377	0	7435934	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 75.fa
79	:	1521751358.564	   699.226	0	5522423	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 79.fa
77	:	1521751304.977	   753.470	0	7687376	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 77.fa
78	:	1521751357.638	   701.236	0	8823514	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 78.fa
80	:	1521751423.888	   700.806	0	4206679	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 80.fa
81	:	1521751870.775	   682.539	0	3099201	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 81.fa
82	:	1521751945.896	   712.496	0	6608591	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 82.fa
83	:	1521751993.114	   723.697	0	5116647	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 83.fa
84	:	1521752010.775	   736.786	0	7178494	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 84.fa
86	:	1521752058.470	   699.829	0	5456481	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 86.fa
87	:	1521752058.896	   708.495	0	5795950	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 87.fa
85	:	1521752057.809	   739.509	0	5867054	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 85.fa
88	:	1521752124.714	   726.707	0	6842903	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 88.fa
89	:	1521752553.322	   700.431	0	5543114	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 89.fa
90	:	1521752658.508	   749.792	0	6293819	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 90.fa
92	:	1521752747.585	   701.132	0	3643837	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 92.fa
91	:	1521752716.831	   732.518	0	5388090	0	0	blastp -evalue 1e-6 -outfmt '6 qseqid qlen sseqid slen frames pident nident length mismatch gapopen qstart qend sstart send evalue bitscore stitle' -db /users/aguang/miniconda3/envs/agalma/lib/python2.7/site-packages/agalma/blastdb/swissprot -query 91.fa
